Epoch: 120, test/loss: 0.464, test/accu: 0.858, test/mIoU: 0.680, test/intsc_0: 0.000, test/intsc_1: 31941.917, test/intsc_2: 28325.766, test/intsc_3: 2968.067, test/intsc_4: 2538.212, test/intsc_5: 9497.487, test/intsc_6: 2017.208, test/intsc_7: 3465.679, test/intsc_8: 3137.651, test/intsc_9: 2857.442, test/intsc_10: 3201.657, test/intsc_11: 136.410, test/intsc_12: 577.526, test/intsc_13: 1780.474, test/intsc_14: 1884.878, test/intsc_15: 421.138, test/intsc_16: 403.234, test/intsc_17: 339.962, test/intsc_18: 241.087, test/intsc_19: 261.603, test/intsc_20: 2378.532, test/union_0: 0.000, test/union_1: 40175.196, test/union_2: 29943.224, test/union_3: 5662.753, test/union_4: 3269.058, test/union_5: 11045.849, test/union_6: 2681.651, test/union_7: 5410.721, test/union_8: 6563.321, test/union_9: 5199.372, test/union_10: 4178.013, test/union_11: 743.183, test/union_12: 999.689, test/union_13: 3350.103, test/union_14: 3596.731, test/union_15: 1098.689, test/union_16: 649.022, test/union_17: 399.631, test/union_18: 420.766, test/union_19: 335.804, test/union_20: 5908.051, test/mIoU_part: 0.626
Epoch: 130, test/loss: 0.468, test/accu: 0.860, test/mIoU: 0.680, test/intsc_0: 0.000, test/intsc_1: 32326.788, test/intsc_2: 28313.407, test/intsc_3: 3245.513, test/intsc_4: 2473.804, test/intsc_5: 9509.224, test/intsc_6: 2190.901, test/intsc_7: 3406.699, test/intsc_8: 2704.840, test/intsc_9: 3022.253, test/intsc_10: 3358.564, test/intsc_11: 150.160, test/intsc_12: 441.516, test/intsc_13: 1761.984, test/intsc_14: 1731.231, test/intsc_15: 313.849, test/intsc_16: 351.933, test/intsc_17: 332.952, test/intsc_18: 226.878, test/intsc_19: 291.064, test/intsc_20: 2551.276, test/union_0: 0.000, test/union_1: 40116.404, test/union_2: 29873.516, test/union_3: 5896.965, test/union_4: 3239.782, test/union_5: 11004.362, test/union_6: 2766.785, test/union_7: 5269.375, test/union_8: 5882.587, test/union_9: 5490.920, test/union_10: 5486.772, test/union_11: 722.484, test/union_12: 821.279, test/union_13: 3343.337, test/union_14: 2704.196, test/union_15: 879.288, test/union_16: 599.327, test/union_17: 379.721, test/union_18: 412.913, test/union_19: 367.199, test/union_20: 6044.708, test/mIoU_part: 0.625
Epoch: 140, test/loss: 0.460, test/accu: 0.864, test/mIoU: 0.698, test/intsc_0: 0.000, test/intsc_1: 31306.500, test/intsc_2: 28105.510, test/intsc_3: 2982.920, test/intsc_4: 2408.849, test/intsc_5: 9505.744, test/intsc_6: 2106.532, test/intsc_7: 3685.321, test/intsc_8: 3588.696, test/intsc_9: 3392.522, test/intsc_10: 3295.266, test/intsc_11: 231.978, test/intsc_12: 544.058, test/intsc_13: 1819.542, test/intsc_14: 1706.407, test/intsc_15: 422.420, test/intsc_16: 322.696, test/intsc_17: 290.644, test/intsc_18: 228.494, test/intsc_19: 270.897, test/intsc_20: 2985.000, test/union_0: 0.000, test/union_1: 39133.583, test/union_2: 29595.702, test/union_3: 5327.981, test/union_4: 3210.484, test/union_5: 11004.375, test/union_6: 2720.587, test/union_7: 5545.128, test/union_8: 7232.612, test/union_9: 6170.221, test/union_10: 4200.891, test/union_11: 946.840, test/union_12: 916.183, test/union_13: 3485.471, test/union_14: 2390.115, test/union_15: 1009.510, test/union_16: 579.859, test/union_17: 372.564, test/union_18: 423.571, test/union_19: 340.625, test/union_20: 6200.462, test/mIoU_part: 0.642
Epoch: 150, test/loss: 0.456, test/accu: 0.865, test/mIoU: 0.690, test/intsc_0: 0.000, test/intsc_1: 32121.567, test/intsc_2: 28286.862, test/intsc_3: 3231.522, test/intsc_4: 2568.849, test/intsc_5: 9531.833, test/intsc_6: 2182.317, test/intsc_7: 3956.526, test/intsc_8: 2637.872, test/intsc_9: 3207.853, test/intsc_10: 3421.369, test/intsc_11: 131.096, test/intsc_12: 532.837, test/intsc_13: 1689.154, test/intsc_14: 1545.696, test/intsc_15: 420.093, test/intsc_16: 355.917, test/intsc_17: 341.801, test/intsc_18: 242.263, test/intsc_19: 266.311, test/intsc_20: 2442.679, test/union_0: 0.000, test/union_1: 40560.420, test/union_2: 29814.683, test/union_3: 5701.449, test/union_4: 3387.782, test/union_5: 10913.708, test/union_6: 2723.385, test/union_7: 5725.830, test/union_8: 5953.103, test/union_9: 5749.942, test/union_10: 4999.503, test/union_11: 770.147, test/union_12: 906.199, test/union_13: 2781.202, test/union_14: 2317.282, test/union_15: 1001.926, test/union_16: 586.804, test/union_17: 388.144, test/union_18: 426.891, test/union_19: 341.179, test/union_20: 5842.760, test/mIoU_part: 0.641
Epoch: 160, test/loss: 0.459, test/accu: 0.868, test/mIoU: 0.696, test/intsc_0: 0.000, test/intsc_1: 32763.167, test/intsc_2: 27907.032, test/intsc_3: 3245.103, test/intsc_4: 2385.455, test/intsc_5: 9301.337, test/intsc_6: 2316.147, test/intsc_7: 3890.699, test/intsc_8: 2962.583, test/intsc_9: 3209.228, test/intsc_10: 3348.272, test/intsc_11: 138.426, test/intsc_12: 499.792, test/intsc_13: 1643.888, test/intsc_14: 1527.167, test/intsc_15: 343.167, test/intsc_16: 327.340, test/intsc_17: 334.862, test/intsc_18: 214.109, test/intsc_19: 259.971, test/intsc_20: 2637.567, test/union_0: 0.000, test/union_1: 40875.071, test/union_2: 29809.404, test/union_3: 5693.644, test/union_4: 3125.984, test/union_5: 10738.151, test/union_6: 2922.792, test/union_7: 6055.404, test/union_8: 6046.628, test/union_9: 5939.141, test/union_10: 4532.917, test/union_11: 728.910, test/union_12: 847.603, test/union_13: 2804.096, test/union_14: 2362.670, test/union_15: 783.032, test/union_16: 563.295, test/union_17: 378.462, test/union_18: 384.766, test/union_19: 329.269, test/union_20: 5830.208, test/mIoU_part: 0.643
Epoch: 170, test/loss: 0.450, test/accu: 0.874, test/mIoU: 0.711, test/intsc_0: 0.000, test/intsc_1: 32620.038, test/intsc_2: 28094.490, test/intsc_3: 3144.901, test/intsc_4: 2429.446, test/intsc_5: 9394.240, test/intsc_6: 2300.288, test/intsc_7: 3998.888, test/intsc_8: 3490.446, test/intsc_9: 2957.984, test/intsc_10: 3353.205, test/intsc_11: 164.067, test/intsc_12: 566.968, test/intsc_13: 1217.833, test/intsc_14: 1803.196, test/intsc_15: 435.503, test/intsc_16: 277.365, test/intsc_17: 338.122, test/intsc_18: 217.824, test/intsc_19: 244.744, test/intsc_20: 3298.397, test/union_0: 0.000, test/union_1: 39925.936, test/union_2: 29567.404, test/union_3: 5319.500, test/union_4: 3153.404, test/union_5: 10728.256, test/union_6: 2864.234, test/union_7: 5989.561, test/union_8: 6532.343, test/union_9: 5031.074, test/union_10: 4444.599, test/union_11: 747.853, test/union_12: 911.952, test/union_13: 2503.910, test/union_14: 2953.593, test/union_15: 964.215, test/union_16: 569.628, test/union_17: 381.215, test/union_18: 369.897, test/union_19: 321.404, test/union_20: 6378.833, test/mIoU_part: 0.649
Epoch: 180, test/loss: 0.438, test/accu: 0.872, test/mIoU: 0.711, test/intsc_0: 0.000, test/intsc_1: 31473.333, test/intsc_2: 28100.663, test/intsc_3: 3266.724, test/intsc_4: 2510.542, test/intsc_5: 9532.452, test/intsc_6: 2286.853, test/intsc_7: 3563.962, test/intsc_8: 3911.288, test/intsc_9: 3145.369, test/intsc_10: 3421.811, test/intsc_11: 139.686, test/intsc_12: 600.769, test/intsc_13: 1832.327, test/intsc_14: 1772.542, test/intsc_15: 427.696, test/intsc_16: 423.231, test/intsc_17: 349.067, test/intsc_18: 222.212, test/intsc_19: 266.808, test/intsc_20: 3250.426, test/union_0: 0.000, test/union_1: 38563.487, test/union_2: 29668.516, test/union_3: 5737.561, test/union_4: 3295.910, test/union_5: 10892.529, test/union_6: 2891.029, test/union_7: 5276.718, test/union_8: 6744.686, test/union_9: 5285.606, test/union_10: 4658.413, test/union_11: 737.378, test/union_12: 992.987, test/union_13: 3305.670, test/union_14: 2495.901, test/union_15: 902.061, test/union_16: 637.673, test/union_17: 401.535, test/union_18: 367.401, test/union_19: 324.288, test/union_20: 6329.647, test/mIoU_part: 0.668
Epoch: 190, test/loss: 0.439, test/accu: 0.874, test/mIoU: 0.710, test/intsc_0: 0.000, test/intsc_1: 32002.590, test/intsc_2: 28218.359, test/intsc_3: 2761.279, test/intsc_4: 2353.849, test/intsc_5: 9447.417, test/intsc_6: 2299.157, test/intsc_7: 3839.551, test/intsc_8: 3979.529, test/intsc_9: 3334.821, test/intsc_10: 3110.641, test/intsc_11: 151.631, test/intsc_12: 498.766, test/intsc_13: 1782.936, test/intsc_14: 1672.869, test/intsc_15: 551.144, test/intsc_16: 278.304, test/intsc_17: 333.288, test/intsc_18: 227.090, test/intsc_19: 261.587, test/intsc_20: 3157.910, test/union_0: 0.000, test/union_1: 39123.756, test/union_2: 29734.920, test/union_3: 4892.622, test/union_4: 3103.455, test/union_5: 10804.814, test/union_6: 2920.353, test/union_7: 5616.471, test/union_8: 7363.859, test/union_9: 5664.910, test/union_10: 4035.923, test/union_11: 748.942, test/union_12: 839.167, test/union_13: 3146.516, test/union_14: 2477.702, test/union_15: 1425.545, test/union_16: 567.814, test/union_17: 373.228, test/union_18: 394.913, test/union_19: 324.458, test/union_20: 6184.670, test/mIoU_part: 0.652
Epoch: 200, test/loss: 0.437, test/accu: 0.871, test/mIoU: 0.709, test/intsc_0: 0.000, test/intsc_1: 31546.112, test/intsc_2: 27963.670, test/intsc_3: 3512.824, test/intsc_4: 2501.929, test/intsc_5: 9557.577, test/intsc_6: 2327.837, test/intsc_7: 3388.837, test/intsc_8: 3379.865, test/intsc_9: 3580.311, test/intsc_10: 3224.978, test/intsc_11: 149.455, test/intsc_12: 572.529, test/intsc_13: 1815.321, test/intsc_14: 1606.670, test/intsc_15: 443.035, test/intsc_16: 298.798, test/intsc_17: 347.901, test/intsc_18: 182.878, test/intsc_19: 283.196, test/intsc_20: 3068.372, test/union_0: 0.000, test/union_1: 39379.340, test/union_2: 29476.250, test/union_3: 5867.990, test/union_4: 3233.096, test/union_5: 10845.083, test/union_6: 2877.362, test/union_7: 5096.340, test/union_8: 6283.715, test/union_9: 6351.359, test/union_10: 4329.160, test/union_11: 736.378, test/union_12: 916.112, test/union_13: 3353.234, test/union_14: 2512.692, test/union_15: 930.433, test/union_16: 579.154, test/union_17: 397.763, test/union_18: 359.423, test/union_19: 342.708, test/union_20: 6387.071, test/mIoU_part: 0.651
Epoch: 210, test/loss: 0.467, test/accu: 0.866, test/mIoU: 0.706, test/intsc_0: 0.000, test/intsc_1: 31914.968, test/intsc_2: 27972.776, test/intsc_3: 3425.869, test/intsc_4: 2494.413, test/intsc_5: 9534.811, test/intsc_6: 2309.660, test/intsc_7: 3573.734, test/intsc_8: 3857.612, test/intsc_9: 2169.824, test/intsc_10: 3251.048, test/intsc_11: 189.096, test/intsc_12: 558.266, test/intsc_13: 1788.949, test/intsc_14: 1406.577, test/intsc_15: 495.391, test/intsc_16: 413.686, test/intsc_17: 348.692, test/intsc_18: 213.878, test/intsc_19: 273.022, test/intsc_20: 3494.468, test/union_0: 0.000, test/union_1: 39625.708, test/union_2: 29489.763, test/union_3: 5964.276, test/union_4: 3193.311, test/union_5: 10833.022, test/union_6: 2886.907, test/union_7: 5239.356, test/union_8: 7121.385, test/union_9: 4667.372, test/union_10: 4272.712, test/union_11: 827.308, test/union_12: 889.522, test/union_13: 3146.577, test/union_14: 2758.788, test/union_15: 1101.606, test/union_16: 625.760, test/union_17: 394.256, test/union_18: 368.929, test/union_19: 338.045, test/union_20: 6575.413, test/mIoU_part: 0.654
